"","Maximum.vertical.height","Number.of.fertile.stamens","Number.of.ovules.per.carpel","Number.of.carpels","Fusion.of.ovaries","Flower.size","seedMass","Woodiness_herbaceous","Woodiness_woody","Climbing_climbing","Climbing_non.climbing","Aquatic_aquatic","Aquatic_non.aquatic","SexualSystem_dimorphic","SexualSystem_monomorphic","Lifespan_long","Lifespan_short","Mating_mixed","Mating_outcrossing","Mating_selfing","Pollination_abiotic","Pollination_autonomous","Pollination_biotic","DispersalMode_abiotic","DispersalMode_autonomous","DispersalMode_biotic","DispersalDist_long","DispersalDist_short","FlowerSex_bisexual","FlowerSex_unisexual","OvaryPosition_inferior","OvaryPosition_intermediate","OvaryPosition_superior","FloralReward_nectar","FloralReward_none","FloralReward_other","FloralReward_pollen","FlowerSymmetry_actinomorphic","FlowerSymmetry_other","FlowerSymmetry_zygomorphic","Showiness_bright","Showiness_dull"
"Cochlospermum_vitifolium",1.06866200051532,3.03552508465828,2.07715756801884,0.802573257885298,0.410413406723782,1.84470227576042,0.468535093133993,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","1","0","0","1","0","1","0","0","0","1","0","0","0","1","1","0","0","1","0"
"Coffea_arabica",0.562557543274467,-0.366300791570949,-0.784439733353737,-0.57135113032844,0.306512305140153,0.724683614574761,1.02620540943136,"0","1","0","1","0","1","0","1","1","0","1","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","1","0","0","1","1","0","0","1","0"
"Combretum_leprosum",1.06866200051532,0.0834077827338659,0.0441812681695879,-0.57135113032844,0.306512305140153,-0.26656750419983,0.424550434439847,"0","1","1","1","0","1","0","1","1","0","0","1","0","0","0","1","1","0","0","1","0","1","0","1","0","0","1","0","1","0","1","0","0","1","0"
"Commelina_communis",-0.367851123969636,-0.855068640769968,-0.370129232592074,-0.57135113032844,0.321355319652101,-0.0299951852691273,-0.239457317289241,"1","0","0","1","0","1","0","1","0","1","0","1","0","0","0","1","0","1","0","0","1","1","1","0","0","1","0","0","0","1","0","0","1","1","0"
"Cordyline_australis",1.06866200051532,-0.191851995287345,-0.212309595130911,0.0366200967296959,0.410413406723782,-0.737703629095345,-0.106214940278066,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","1","0","1","0","0","0","1","1","0","0","1","1","0","0","1","0"
"Coriaria_myrtifolia",0.267251595694639,0.296915853911674,-0.784439733353737,0.802573257885298,-0.307988495654455,-0.529815118813931,0.165300599582337,"0","1","0","1","0","1","0","1","1","0","0","1","0","1","0","0","0","0","1","1","0","1","1","0","0","1","0","1","0","0","1","0","0","0","1"
"Coriaria_ruscifolia",0.0328540784407074,0.296915853911674,-0.784439733353737,1.41054448494343,-0.696875475867469,-1.41737616228741,-0.690286448930658,"0","1","0","1","0","1","0","1","1","0","0","1","0","1","0","0","1","0","0","1","0","1","0","0","0","1","0","1","0","0","1","0","0","1","1"
"Cornus_florida",1.36396794809515,-0.579808862748757,-0.314088902698432,-0.311289849150415,0.318386716749711,0.127171150656024,0.846623194848055,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","1","0","1","0","1","0","0","1","0","1","0","1","0","0","1","1"
"Corokia_cotoneaster",0.267251595694639,-0.366300791570949,-0.784439733353737,-0.57135113032844,0.187768189044577,-0.59369828573646,0.451188918810935,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","1","0","1","0","1","0","0","1","0","1","0","1","0","0","1","0"
"Corrigiola_litoralis",-1.46456747637015,-0.366300791570949,0.210447332589395,0.0366200967296959,-1.07388804447092,-1.60973221146823,-0.738109975822456,"1","0","0","1","0","1","0","1","0","1","0","0","1","0","0","1","1","1","0","1","1","1","0","0","1","0","1","0","0","0","1","0","0","1","0"
"Costus_woodsonii",1.06866200051532,-1.906242153714,0.528893481370741,0.0366200967296959,0.327292525456879,0.724683614574761,0.0332376929106696,"1","0","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","1","0","1","0","1","0","0","1","0","0","1","0","0","1","1","0"
"Cucurbita_pepo",-0.663157071549464,-1.02951743705357,-0.0947891138000874,0.0366200967296959,0.410413406723782,-0.22235123444994,0.949299796491351,"1","0","1","0","0","1","0","1","0","1","0","1","0","0","0","1","1","0","0","1","0","0","1","1","0","0","1","0","0","0","1","0","0","1","0"
"Cupaniopsis_anacardioides",0.43355928085105,0.0834077827338659,-0.784439733353737,0.0366200967296959,0.410413406723782,-0.414707283630753,1.01076609331803,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","1","0","0","1","0","0","1","1","0","0","1","0","1","0","1","1"
"Curculigo_latifolia",-0.663157071549464,-0.191851995287345,-0.0995217926563902,-0.115993379597475,0.306512305140154,0.00381417818227662,0.841208269891673,"1","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","1","0","0","1","0","1","1","1","0","0","1","0","0","0","1","0","0","1","0"
"Cuscuta_cuspidata",-0.768556326379979,-0.366300791570949,-0.370129232592074,-0.57135113032844,0.410413406723782,-1.7248400466514,-0.577353820363638,"1","0","1","0","0","1","0","1","0","1","1","0","0","1","0","0","1","0","0","1","0","1","0","0","0","1","0","1","0","0","1","0","0","1","0"
"Cuttsia_viburnea",1.19766026293874,-0.366300791570949,2.93077626838773,0.802573257885298,-0.103154895389586,-0.22235123444994,-1.52958444675533,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","1","1","0","1","1","1","0","0","0","1","0","0","0","1","1","0","0","1","0"
"Cyclanthus_bipartitus",0.0328540784407074,-0.191851995287345,-0.232099756375008,-0.094289406990912,0.321355319652101,-0.690916815108745,0.0840418418686755,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","1","0","0","1","0","0","1","0","0","0","1","1","0","0","1","0"
"Cymodocea_nodosa",-0.663157071549464,-1.24302550823138,-0.784439733353737,-0.57135113032844,-2.55818949566563,-1.13994044213409,-0.430680256506417,"1","0","0","1","1","0","1","1","1","0","0","1","0","1","0","0","0","1","1","1","1","0","1","0","0","1","0","1","0","0","1","0","0","0","1"
"Cypripedium_calceolus",-0.829464756705876,-1.24302550823138,1.64331994558481,0.0366200967296959,0.410413406723782,1.54281788186896,-2.20255473272477,"1","0","0","1","0","1","0","1","1","0","0","1","0","0","0","1","1","0","0","1","0","1","0","1","0","0","0","0","0","1","0","0","1","1","1"
"Cyrilla_racemiflora",0.96326274568481,-0.366300791570949,-0.370129232592074,-0.57135113032844,0.410413406723782,-0.819863698368677,0.274090053310757,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","1","0","0","1","0","1","0","0","0","1","1","0","0","0","1","0","0","1","0"
"Dalechampia_spathulata",0.161852340864124,0.960132499394297,0.0487110075504382,0.0366200967296959,0.143239145508735,-0.142578024967102,0.210621536684449,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","1","0","0","1","0","0","0","1","1","0"
"Dalzellia_ceylanica",-3.03007886327853,-0.855068640769968,1.22603590774753,0.0366200967296959,0.410413406723782,-1.60973221146823,-1.25338636496715,"1","0","0","1","1","1","0","1","1","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","0","1","0","0","0","1","1","0","0","1","1"
"Daphniphyllum_macropodum",1.36396794809515,0.196104872174067,-0.370129232592074,-0.57135113032844,0.410413406723782,-1.11446261502396,0.589331582253694,"0","1","0","1","0","1","1","0","1","0","0","1","0","1","0","0","0","0","1","1","0","0","1","0","0","1","0","1","0","0","1","0","0","0","1"
"Datisca_glomerata",-0.133453606715704,0.053030013357922,0.251855869036811,-0.286962091747991,-0.0705002634633027,-0.59369828573646,-1.28194700432551,"1","0","0","1","0","1","1","0","1","0","1","0","0","1","0","0","1","0","0","1","0","1","1","1","0","0","0","1","0","0","1","0","0","0","1"
"Davidsonia_jerseyana",0.96326274568481,0.196104872174067,0.286537374770164,-0.57135113032844,0.291669290628206,-0.819863698368677,1.05284273783414,"0","1","0","1","0","1","0","1","1","0","0","0","1","0","0","1","0","0","1","1","0","1","0","0","0","1","1","0","0","0","1","0","0","1","0"
"Davilla_kunthii",-0.451630920703499,2.15880036799785,-0.370129232592074,-1.61068480780112,-0.305019892752066,0.284337486581175,-0.0562914069866033,"1","0","1","0","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","1","0","1","0","1","0","1","0","0","0","1","1","0","0","1","0"
"Denhamia_celastroides",0.75707059831113,-0.366300791570949,0.0441812681695879,0.0366200967296959,0.410413406723782,0.56751727864961,0.242780939362593,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","1","0","0","1","0","1","0","0","0","1","1","0","0","0","1","0","0","1","0"
"Diapensia_lapponica",-2.62937366086818,-0.366300791570949,1.83480146141827,0.0366200967296959,0.410413406723782,-0.140191165176608,-0.967888262810193,"0","1","0","1","0","1","0","1","1","0","1","0","0","0","0","1","0","1","0","0","1","1","0","0","0","1","1","0","0","0","1","0","0","1","0"
"Diospyros_australis",1.36396794809515,0.618859005854795,-0.370129232592074,0.467982547144242,0.0898042932657257,-1.80208826064904,0.918248252674638,"0","1","0","1","0","1","1","0","1","0","0","1","0","0","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","1","0","0","1","0"
"Dipterocarpus_tempehes",1.83276298260302,1.34808936685571,0.791951749347468,0.679622794455392,-0.0467514402441873,1.23137233560588,0.163286725631278,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","1","0","0","1","0","1","0","0","0","1","0","0","0","1","1","0","0","1","0"
"Discaria_americana",-0.367851123969636,-0.467111773308557,-0.784439733353737,0.26776002983936,0.101678704875283,-0.662697362443526,-0.425043643370544,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","1","0","0","1","1","0","0","1","0","1","0","1","1","1","0","0","1","0"
"Drosophyllum_lusitanicum",-0.428759554295533,0.296915853911674,1.03818304546298,0.802573257885298,0.410413406723782,0.633859871687139,-0.120773856637053,"0","1","0","1","0","1","0","1","1","0","1","0","0","0","0","1","0","1","0","0","1","1","0","0","0","1","1","0","0","1","1","0","0","1","0"
"Dryas_octopetala",-0.768556326379979,2.97340880575275,-0.784439733353737,1.42376032409135,-2.55818949566563,0.724683614574761,-0.604831013645315,"0","1","0","1","0","1","0","1","1","0","1","0","0","0","0","1","1","0","0","1","0","1","0","0","0","1","1","0","0","1","1","0","0","1","0"
"Durio_zibethinus",1.49296621051857,2.01130601233833,0.286537374770164,0.802573257885298,0.410413406723782,1.24718981184168,2.36046729615338,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","1","0","1","0","0","0","1","1","0","0","0","1","0","0","1","0"
"Eichhornia_crassipes",-0.897554588803396,-0.191851995287345,0.715928802409063,0.0366200967296959,0.410413406723782,1.3221960784935,-0.324899719517704,"1","0","0","1","1","0","0","1","1","1","0","1","0","0","0","1","1","0","1","1","0","1","0","0","0","1","1","0","0","1","0","0","1","1","0"
"Eriocaulon_parkeri",-1.46456747637015,-0.579808862748757,-0.233444776471391,-0.57135113032844,0.356978554480773,-1.60973221146823,-0.224267370862087,"1","0","0","1","0","1","0","1","1","1","0","1","0","0","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","1","0","0","1","0"
"Eriogonum_arborescens",0.0328540784407074,0.196104872174067,-0.784439733353737,0.0366200967296959,0.359947157383163,-1.33521609301408,-0.639770149863919,"0","1","0","1","0","1","0","1","1","0","1","0","0","0","0","1","1","0","0","1","0","1","0","0","0","1","1","0","0","0","1","0","0","1","0"
"Eryngium_alpinum",-0.829464756705876,-0.366300791570949,-0.2728841695093,-0.57135113032844,0.380727377699889,-1.60973221146823,-0.0331795211402845,"1","0","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","1","0","1","0","1","0","0","1","0","0","0","1","0","0","1","0"
"Erythroxylum_laurifolium",0.50164911294857,0.296915853911674,-0.537123682099943,-0.0428132965615598,0.261983261604312,-0.558490226631754,0.728323586248408,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","1","0","1","0","0","0","1","1","0","1","0","1","0","0","1","0"
"Eschscholzia_californica",-1.01758995217977,0.935907930423607,0.470200556536778,-0.57135113032844,0.410413406723782,0.972673693387534,-0.386228117083801,"1","0","0","1","0","1","0","1","1","1","0","1","0","0","0","1","0","1","0","0","1","1","0","0","0","1","0","0","0","1","0","1","0","1","0"
"Eucalyptus_cladocalyx",1.68747926555523,3.12423123212577,0.909039043249378,0.26776002983936,-0.0319084257322403,0.127171150656024,-0.0474975161685451,"0","1","0","1","0","1","0","1","1","0","1","0","0","0","0","1","1","0","0","1","0","1","0","1","0","0","1","0","0","0","1","0","0","1","0"
"Eupomatia_bennettii",-0.133453606715704,0.141414594912295,0.199203801777413,0.394737749838993,0.410413406723782,0.857565858204355,0.0893425849600772,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","1","0","0","1","0","1","0","1","0","0","1","0","0","0","1","0","0","1","0"
"Eupomatia_laurina",0.75707059831113,2.01130601233833,-0.127773125991498,3.95759941940973,0.410413406723782,0.623151308281571,0.300630568644422,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","1","0","1","0","0","0","1","0","0","1","0","1","0","0","1","0"
"Fagus_grandifolia",1.49296621051857,0.388110479675146,-0.370129232592074,0.0366200967296959,-0.0200340141226827,-0.850641645812781,1.1268551719053,"0","1","0","1","0","1","0","1","1","0","0","1","0","1","0","0","0","0","1","1","0","0","1","1","0","0","0","1","0","1","1","0","0","0","1"
"Ficaria_verna",-1.25645154882386,1.17364057057211,-0.784439733353737,2.44987816241612,-0.955143928375349,0.776943752351584,-0.14552473699853,"1","0","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","0","1","1","0","0","0","1","1","0","0","1","1","0","0","1","0"
"Filipendula_vulgaris",-0.526501804358964,1.17364057057211,-0.370129232592074,1.68392500126051,-2.55818949566563,-0.065184898524789,-0.507669686387111,"1","0","0","1","0","1","0","1","1","0","0","1","0","1","0","1","0","0","1","1","0","1","0","0","0","1","0","1","0","1","1","0","0","1","0"
"Floerkea_proserpinacoides",-1.375453676164,-0.191851995287345,-0.784439733353737,-0.236760419587383,0.177872846036612,0.649677347922942,-0.127127743435065,"1","0","0","1","0","1","0","1","0","1","0","0","1","0","1","0","0","1","0","0","1","1","0","0","0","1","1","0","0","0","1","0","0","1","1"
"Fumana_ericoides",-1.06386227395981,1.31565170569284,0.606629319012905,-0.57135113032844,0.163029831524665,0.260053394285619,-0.244030459834394,"0","1","0","1","0","1","0","1","1","0","0","0","1","0","0","1","0","1","0","0","1","1","0","1","0","0","1","0","0","1","1","0","0","1","0"
"Galium_aparine",-0.406704193570098,-0.579808862748757,-0.784439733353737,-0.57135113032844,0.410413406723782,0.260053394285619,0.139063765872768,"1","0","0","1","0","1","0","1","0","1","0","0","1","0","0","1","0","0","1","1","0","1","0","1","0","0","1","0","0","0","1","0","0","1","0"
"Gelsemium_sempervirens",0.532905125308555,-0.366300791570949,0.0441812681695879,-0.57135113032844,0.410413406723782,0.649677347922942,0.241079199516072,"1","0","1","0","0","1","0","1","1","0","0","1","0","0","0","1","1","0","0","1","0","1","0","0","0","1","0","0","1","0","1","0","0","1","0"
"Gentiana_saponaria",-0.792155333972881,-0.366300791570949,-0.00200767507406854,-0.57135113032844,0.410413406723782,0.917039663755573,-0.0264205506936055,"1","0","0","1","0","1","0","1","1","0","0","1","0","0","0","1","1","0","0","1","0","1","0","0","0","1","1","0","0","0","1","0","0","1","0"
"Geranium_sanguineum",-1.06386227395981,0.296915853911674,-0.370129232592074,0.802573257885298,0.410413406723782,0.752949368769414,0.133192127468128,"1","0","0","1","0","1","0","1","1","0","1","0","0","0","0","1","0","1","0","0","1","1","0","0","0","1","1","0","0","0","1","0","0","1","0"
"Gerbera_jamesonii",-0.934864011536391,-0.366300791570949,-0.784439733353737,-0.57135113032844,0.321355319652101,0.993959423465155,-0.293508988998958,"1","0","0","1","0","1","0","1","1","0","0","1","0","0","0","1","1","0","0","1","0","1","0","1","0","0","1","0","0","0","0","0","1","1","0"
"Gesneria_cuneifolia",-1.46456747637015,-0.194349106198381,1.07251332464832,-0.57135113032844,0.217454218068471,0.56751727864961,-1.64808863171875,"0","1","0","1","0","1","0","1","1","0","1","0","0","0","0","1","0","0","1","0","1","1","0","0","0","1","1","0","0","0","0","0","1","1","0"
"Gomortega_keule",1.36396794809515,0.0834077827338659,-0.784439733353737,-0.57135113032844,0.410413406723782,-0.662697362443526,1.18543557705653,"0","1","0","1","0","1","0","1","1","0","1","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","1","0","0","0","1","0","0","1","1"
"Gonocaryum_litorale",1.28677406314489,-0.366300791570949,-0.370129232592074,-0.57135113032844,0.410413406723782,-0.737703629095345,0.97166255273942,"0","1","0","1","0","1","1","0","1","0","0","1","0","0","0","1","0","0","1","1","0","0","1","0","0","1","1","0","0","0","1","0","0","1","1"
"Gossypium_hirsutum",-0.133453606715704,2.28656579035954,0.591869959133281,0.26776002983936,0.410413406723782,1.45507832212309,0.821471560667731,"0","1","0","1","0","1","0","1","1","1","0","0","1","0","0","1","1","0","0","1","0","1","0","0","0","1","1","0","0","0","1","0","0","1","0"
"Grewia_occidentalis",0.267251595694639,2.24376162080037,-0.784439733353737,0.467982547144242,0.410413406723782,0.724683614574761,0.712185403659099,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","1","0","1","0","0","0","1","1","0","0","0","1","0","0","1","0"
"Griselinia_racemosa",0.0328540784407074,-0.366300791570949,-0.593521309426432,0.0366200967296959,0.410413406723782,-0.450101799327374,0.226595049085243,"0","1","0","1","0","1","1","0","1","0","0","1","0","0","0","1","0","0","1","1","0","0","1","1","0","0","1","0","0","0","1","0","0","1","0"
"Gyrocarpus_americanus",1.49296621051857,-0.579808862748757,-0.784439733353737,-1.61068480780112,0.244171644189976,-1.857722290281,1.21599707522886,"0","1","0","1","0","1","0","1","1","0","0","1","0","1","0","0","1","0","0","1","0","1","1","1","0","0","0","1","0","0","1","0","0","1","1"
"Hamamelis_virginiana",0.562557543274467,-0.579808862748757,-0.784439733353737,-0.57135113032844,0.410413406723782,0.375161229468797,0.864566160910286,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","1","0","0","1","1","0","0","1","0","1","0","0","1","1","0","0","1","0"
"Hanguana_malayana",0.267251595694639,-0.191851995287345,-0.784439733353737,0.0366200967296959,0.410413406723782,-0.310626746989142,0.323323260443513,"1","0","0","1","0","1","1","0","1","0","0","1","0","0","0","1","0","0","1","1","0","0","1","0","0","1","1","0","0","0","1","0","0","1","0"
"Haumania_danckelmaniana",0.667956798104982,-1.906242153714,-0.0864774241189363,0.0366200967296959,0.371821568992721,-0.0299951852691273,0.410938328243593,"0","1","1","0","0","1","0","1","1","0","0","1","0","0","0","1","1","0","0","1","0","1","0","1","0","0","1","0","0","0","0","0","1","1","0"
"Hedychium_gardnerianum",0.138253333271222,-1.906242153714,-0.120641350972288,0.0366200967296959,0.27385767321387,1.57018615730627,0.104090470714017,"1","0","0","1","0","1","0","1","1","0","0","0","1","0","0","1","0","0","1","1","0","1","0","1","0","0","1","0","0","0","0","0","1","1","0"
"Helianthus_annuus",0.0328540784407074,-0.366300791570949,-0.784439733353737,-0.57135113032844,0.410413406723782,0.457321298742129,0.564579555596861,"1","0","0","1","0","1","0","1","0","1","0","1","0","0","0","1","0","1","0","0","1","1","0","1","0","0","1","0","0","1","1","0","1","1","0"
"Heliconia_irrasa",-0.133453606715704,-0.366300791570949,-0.784439733353737,0.0366200967296959,0.356978554480774,1.28550848776527,0.277252566706968,"1","0","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","1","0","1","0","1","0","0","1","0","0","0","1","0","0","1","0"
"Herniaria_glabra",-1.29825979121374,-0.366300791570949,0.631180703771486,-0.376905150591211,0.029442700917141,-1.857722290281,-1.1498465408487,"1","0","0","1","0","1","0","1","1","1","0","0","1","0","0","1","1","1","0","1","1","1","0","0","0","1","1","0","0","0","1","0","0","0","1"
"Hevea_brasiliensis",1.36396794809515,0.296915853911674,-0.784439733353737,0.0366200967296959,0.410413406723782,-0.81556429659552,1.90508160900783,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","1","0","0","1","0","1","0","1","0","0","0","1","0","0","1","1"
"Hirtella_physophora",0.641542801790867,-0.191851995287345,-0.217034524995567,-0.201959089143088,0.371821568992721,0.375161229468797,0.559219802092695,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","1","0","0","1","0","1","0","0","0","1","1","0","0","1","0","0","1","1","0"
"Hordeum_bulbosum",-0.397503541935547,-0.855068640769968,-0.784439733353737,-0.57135113032844,0.063086867144221,0.260053394285619,0.205505955424169,"1","0","0","1","0","1","0","1","1","0","0","1","0","1","0","0","0","0","1","1","0","1","0","0","0","1","0","1","0","0","0","0","1","0","1"
"Hydnocarpus_heterophylla",1.36396794809515,1.21116770844482,-0.59743645194126,0.467982547144242,0.410413406723782,0.182805180287984,1.20486182541016,"0","1","0","1","0","1","1","0","1","0","0","1","0","0","0","1","0","0","1","1","0","0","1","0","0","1","1","0","0","0","1","0","0","1","1"
"Hydrastis_canadensis",-1.01758995217977,1.90605502557792,-0.370129232592074,1.95034753969845,-2.55818949566563,0.00381417818227662,0.0369673566029704,"1","0","0","1","0","1","0","1","1","0","1","0","0","0","0","1","0","0","1","1","0","1","0","0","0","1","1","0","0","1","1","0","0","1","0"
"Hydrocotyle_vulgaris",-1.56996673120067,-0.366300791570949,0.0223677636389097,-0.57135113032844,0.410413406723782,-1.857722290281,-0.707316544314594,"1","0","0","1","0","1","0","1","1","0","0","0","1","0","1","1","1","0","0","1","0","1","0","1","0","0","1","0","0","0","1","0","0","1","0"
"Hydrophyllum_capitatum",-1.11416315147397,-0.366300791570949,-0.244245119513287,-0.470916095317189,0.34114600566803,-0.529815118813931,0.0445738390283209,"1","0","0","1","0","1","0","1","1","0","0","1","0","0","0","1","1","0","0","1","0","1","0","0","0","1","1","0","0","1","1","0","0","1","0"
"Hypericum_perforatum",-0.663157071549464,1.83685721605473,1.24853656649552,0.0366200967296959,0.410413406723782,0.319527199836837,-1.05919840305325,"1","0","0","1","0","1","0","1","1","0","0","0","1","0","0","1","1","0","0","1","0","1","0","0","0","1","0","0","0","1","1","0","0","1","0"
"Ilex_opaca",1.09226100810823,-0.579808862748757,-0.452507059421171,0.467982547144242,0.410413406723782,-0.470341313262713,0.326741630191538,"0","1","0","1","0","1","1","0","1","0","0","1","0","0","0","1","0","0","1","1","0","0","1","0","0","1","1","0","0","0","1","0","0","1","1"
"Impatiens_capensis",-0.339645754089385,-0.366300791570949,-0.784439733353737,0.802573257885298,0.410413406723782,0.806843683848093,0.0652434652347144,"1","0","0","1","0","1","0","1","0","1","1","0","0","0","0","1","0","1","0","0","1","1","0","0","0","1","1","0","0","0","0","0","1","1","0"
"Ipomoea_alba",0.96326274568481,-0.366300791570949,0.177559458371619,-0.57135113032844,-0.355486142092686,1.67171846359946,0.841149810589211,"1","0","1","0","0","1","0","1","1","1","0","0","1","0","0","1","1","0","0","1","0","1","0","0","0","1","1","0","0","0","1","0","0","1","0"
"Iris_versicolor",-0.595067239451945,-0.855068640769968,1.42791619533356,0.0366200967296959,-0.248616437606667,1.93748295085865,0.287131599032112,"1","0","0","1","0","1","0","1","1","0","1","0","0","0","1","1","1","0","0","1","0","1","0","1","0","0","1","0","0","0","1","0","0","1","0"
"Irvingbaileya_australis",1.02833436769369,-0.366300791570949,-0.784439733353737,-0.57135113032844,0.410413406723782,-0.990934017471868,1.07164855932702,"0","1","0","1","0","1","1","0","1","0","0","1","0","0","0","1","0","0","1","1","0","0","1","0","0","1","1","0","0","0","1","0","0","1","0"
"Juglans_mandshurica",1.19766026293874,1.21116770844482,-0.784439733353737,-0.57135113032844,-0.628597609112512,-0.694913133641034,2.16464746394389,"0","1","0","1","0","1","0","1","1","0","0","1","0","1","0","0","0","0","1","1","0","0","1","1","0","0","0","1","0","0","1","0","0","0","1"
"Jumellea_fragrans",-1.06386227395981,-1.24302550823138,0.916865095480352,0.0366200967296959,0.0482438526322739,0.972673693387534,-0.977731647623175,"1","0","0","1","0","1","0","1","1","0","1","0","0","0","0","1","1","0","0","1","0","1","0","1","0","0","1","0","0","0","0","0","1","1","0"
"Juncus_effusus",-0.440111021002713,-0.855068640769968,0.765535892735552,0.0366200967296959,-0.74140451940331,-0.333795537618911,-1.64808863171875,"1","0","0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","0","1","1","0","1","0","0","0","1","0","1","0","0","1","0","0","0","1"
"Kalanchoe_daigremontiana",-0.133453606715704,0.0834077827338659,2.12500099179466,0.467982547144242,-1.96446891518775,0.724683614574761,-1.64808863171875,"1","0","0","1","0","1","0","1","1","1","0","0","1","0","0","1","1","0","0","1","0","1","0","0","1","1","1","0","0","0","1","0","0","1","0"
"Kalmia_latifolia",0.562557543274467,0.296915853911674,1.22049158682898,0.440086744672034,0.410413406723782,0.665209809023543,-1.64808863171875,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","1","0","0","1","0","1","0","0","0","1","1","0","0","0","1","0","0","1","0"
"Kielmeyera_regalis",0.435171232384023,0.83141939945766,0.800252904785306,0.420999368509436,0.107615910680062,1.67171846359946,-0.284923293081814,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","1","0","0","1","0","1","0","0","0","1","0","0","0","1","1","0","0","1","0"
"Kirengeshoma_palmata",-0.339645754089385,0.684872721373086,0.63985548781554,0.462101049796671,-0.0497200431465767,0.930722939445096,-0.342849805640746,"1","0","0","1","0","1","0","1","1","0","0","1","0","0","0","1","1","0","0","1","0","1","0","0","0","1","1","0","0","0","1","0","0","1","0"
"Kirkia_wilmsii",1.06866200051532,-0.467111773308557,-0.261894746670234,0.644591323787831,0.410413406723782,-0.22235123444994,0.266368972943201,"0","1","0","1","0","1","1","0","1","0","0","1","0","0","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","1","0","0","1","0"
"Lactoris_fernandeziana",-0.133453606715704,-0.191851995287345,0.286537374770164,0.0366200967296959,-2.55818949566563,-1.01221974754949,-0.324748339918289,"0","1","0","1","0","1","0","1","1","0","1","0","0","1","0","0","1","1","0","1","1","1","1","0","0","1","0","1","0","0","1","0","0","0","1"
"Lantana_camara",-0.339645754089385,-0.579808862748757,-0.0238692788627143,-1.00271358074299,-0.408920994335696,-0.59369828573646,0.199790324208011,"0","1","0","1","0","1","0","1","1","0","0","0","1","0","0","1","0","0","1","1","0","1","0","0","0","1","1","0","0","0","0","0","1","1","0"
"Lapageria_rosea",0.834264483261393,-0.191851995287345,2.13412672180017,0.0366200967296959,0.410413406723782,1.51455212767431,0.237895899514541,"0","1","1","0","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","1","0","1","0","1","0","1","1","0","0","0","1","0","0","1","0"
"Larrea_tridentata",-0.0961441839827093,0.296915853911674,0.19965803382443,0.802573257885298,0.0719926758513893,0.56751727864961,0.0396238514265544,"0","1","0","1","0","1","0","1","1","0","1","0","0","0","0","1","0","0","1","1","0","1","0","0","0","1","1","0","0","1","1","0","0","1","0"
"Lemna_minor",-1.99427094120391,-1.24302550823138,-0.784439733353737,-1.61068480780112,-0.549434865048794,-2.39960072456778,-0.758524618659151,"1","0","0","1","1","0","0","1","0","1","0","0","1","0","0","1","1","0","0","1","0","1","0","0","0","1","1","0","0","0","1","0","0","0","1"
